year,cause,deaths
2003,"Pregnancy, childbirth and the puerperium",545
2003,Certain conditions originating in the perinatal period,14378
2003,"Congenital malformations, deformations and chromosomal abnormalities",10518
2003,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31444
2003,Codes for special purposes,0
2003,External causes of morbidity and mortality,166857
2004,Certain infectious and parasitic diseases,64618
2004,Neoplasms,567468
2004,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9424
2004,"Endocrine, nutritional and metabolic diseases",99042
2004,Mental and behavioural disorders,61524
2004,Diseases of the nervous system,111751
2004,Diseases of the eye and adnexa,43
2004,Diseases of the ear and mastoid process,61
2004,Diseases of the circulatory system,865863
2004,Diseases of the respiratory system,227093
2004,Diseases of the digestive system,86337
2004,Diseases of the skin and subcutaneous tissue,4180
2004,Diseases of the musculoskeletal system and connective tissue,14284
2004,Diseases of the genitourinary system,60326
2004,"Pregnancy, childbirth and the puerperium",697
2004,Certain conditions originating in the perinatal period,14213
2004,"Congenital malformations, deformations and chromosomal abnormalities",10498
2004,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",30126
2004,Codes for special purposes,0
2004,External causes of morbidity and mortality,170067
2005,Certain infectious and parasitic diseases,66507
2005,Neoplasms,573022
2005,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9591
2005,"Endocrine, nutritional and metabolic diseases",103152
2005,Mental and behavioural disorders,71466
2005,Diseases of the nervous system,120713
2005,Diseases of the eye and adnexa,45
2005,Diseases of the ear and mastoid process,58
2005,Diseases of the circulatory system,860843
2005,Diseases of the respiratory system,239680
2005,Diseases of the digestive system,87391
2005,Diseases of the skin and subcutaneous tissue,4234
2005,Diseases of the musculoskeletal system and connective tissue,14418
2005,Diseases of the genitourinary system,62773
2005,"Pregnancy, childbirth and the puerperium",760
2005,Certain conditions originating in the perinatal period,14549
2005,"Congenital malformations, deformations and chromosomal abnormalities",10410
2005,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31999
2005,Codes for special purposes,0
2005,External causes of morbidity and mortality,176406
2006,Certain infectious and parasitic diseases,66993
2006,Neoplasms,574010
2006,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,8834
2006,"Endocrine, nutritional and metabolic diseases",99204
2006,Mental and behavioural disorders,91761
2006,Diseases of the nervous system,122965
2006,Diseases of the eye and adnexa,51
2006,Diseases of the ear and mastoid process,62
2006,Diseases of the circulatory system,827741
2006,Diseases of the respiratory system,226661
2006,Diseases of the digestive system,87607
2006,Diseases of the skin and subcutaneous tissue,3862
2006,Diseases of the musculoskeletal system and connective tissue,13930
2006,Diseases of the genitourinary system,63581
2006,"Pregnancy, childbirth and the puerperium",760
2006,Certain conditions originating in the perinatal period,14442
2006,"Congenital malformations, deformations and chromosomal abnormalities",10489
2006,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31725
2006,Codes for special purposes,0
2006,External causes of morbidity and mortality,181586
2007,Certain infectious and parasitic diseases,66850
2007,Neoplasms,577079
2007,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9745
2007,"Endocrine, nutritional and metabolic diseases",99028
2007,Mental and behavioural disorders,90280
2007,Diseases of the nervous system,126997
2007,Diseases of the eye and adnexa,45
2007,Diseases of the ear and mastoid process,65
2007,Diseases of the circulatory system,810257
2007,Diseases of the respiratory system,227307
2007,Diseases of the digestive system,89151
2007,Diseases of the skin and subcutaneous tissue,3883
2007,Diseases of the musculoskeletal system and connective tissue,13917
2007,Diseases of the genitourinary system,64743
2007,"Pregnancy, childbirth and the puerperium",769
2007,Certain conditions originating in the perinatal period,14599
2007,"Congenital malformations, deformations and chromosomal abnormalities",10421
2007,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33500
2007,Codes for special purposes,0
2007,External causes of morbidity and mortality,185076
2008,Certain infectious and parasitic diseases,68432
2008,Neoplasms,579939
2008,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9873
2008,"Endocrine, nutritional and metabolic diseases",99326
2008,Mental and behavioural disorders,104617
2008,Diseases of the nervous system,136607
2008,Diseases of the eye and adnexa,51
2008,Diseases of the ear and mastoid process,80
2008,Diseases of the circulatory system,808525
2008,Diseases of the respiratory system,245099
2008,Diseases of the digestive system,91097
2008,Diseases of the skin and subcutaneous tissue,3983
2008,Diseases of the musculoskeletal system and connective tissue,13871
2008,Diseases of the genitourinary system,63130
2008,"Pregnancy, childbirth and the puerperium",795
2008,Certain conditions originating in the perinatal period,13933
2008,"Congenital malformations, deformations and chromosomal abnormalities",10288
2008,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",38522
2008,Codes for special purposes,0
