"geoid","name","intent","period","count_sup","rate","data_as_of","ttm_date_range"
"08","Colorado","All_Suicide","2022","1293","22.10000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Suicide","2023","1297","22.10000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Suicide","2024","1313","22.30000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Suicide","TTM","1304","22.20000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"08","Colorado","Drug_OD","2019","913","15.90000000000000","2026-05-14T00:00:00.000",
"08","Colorado","Drug_OD","2020","1327","22.90000000000000","2026-05-14T00:00:00.000",
"08","Colorado","Drug_OD","2021","1715","29.50000000000000","2026-05-14T00:00:00.000",
"08","Colorado","Drug_OD","2022","1641","28.10000000000000","2026-05-14T00:00:00.000",
"08","Colorado","Drug_OD","2023","1702","29.00000000000000","2026-05-14T00:00:00.000",
"08","Colorado","Drug_OD","2024","1445","24.60000000000000","2026-05-14T00:00:00.000",
"08","Colorado","Drug_OD","TTM","1574","26.80000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"08","Colorado","FA_Deaths","2019","846","14.70000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Deaths","2020","922","15.90000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Deaths","2021","1064","18.30000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Deaths","2022","1036","17.70000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Deaths","2023","1019","17.30000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Deaths","2024","961","16.40000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Deaths","TTM","931","15.80000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"08","Colorado","FA_Homicide","2019","164","2.800000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Homicide","2020","235","4.100000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Homicide","2021","276","4.700000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Homicide","2022","304","5.200000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Homicide","2023","261","4.400000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Homicide","2024","209","3.600000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Homicide","TTM","160","2.700000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"08","Colorado","FA_Suicide","2019","647","11.20000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Suicide","2020","654","11.30000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Suicide","2021","745","12.80000000000000","2026-05-14T00:00:00.000",
"08","Colorado","FA_Suicide","2022","691","11.80000000000000","2026-05-14T00:00:00.000",
