"geoid","intent","period","count","rate","type","data_as_of","ttm_date_range"
"USA","All_Suicide","2023-09-01T00:00:00.000","4166","15.1","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-10-01T00:00:00.000","4060","14.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-11-01T00:00:00.000","3804","13.8","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-12-01T00:00:00.000","3829","13.5","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-01-01T00:00:00.000","4036","14.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-02-01T00:00:00.000","3804","14.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-03-01T00:00:00.000","4046","14.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-04-01T00:00:00.000","4155","15.1","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-05-01T00:00:00.000","4322","15.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-06-01T00:00:00.000","4126","15","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-07-01T00:00:00.000","4329","15.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-08-01T00:00:00.000","4401","15.5","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-09-01T00:00:00.000","4036","14.7","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-10-01T00:00:00.000","4024","14.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-11-01T00:00:00.000","3800","13.8","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-12-01T00:00:00.000","3745","13.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-01-01T00:00:00.000","4036","14.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-02-01T00:00:00.000","3719","14.5","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-03-01T00:00:00.000","4236","14.9","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-04-01T00:00:00.000","4182","15.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-05-01T00:00:00.000","4173","14.70000000000000","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-06-01T00:00:00.000","4212","15.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-07-01T00:00:00.000","4363","15.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-08-01T00:00:00.000","4260","15.00000000000000","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-09-01T00:00:00.000","4035","14.70000000000000","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-10-01T00:00:00.000","3897","13.70000000000000","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-11-01T00:00:00.000","3903","14.20000000000000","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2025-11-01T00:00:00.000","48638","14.5","TTM","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"USA","All_Suicide","2019-01-01T00:00:00.000","47511","14.5","year","2026-05-14T00:00:00.000",
"USA","All_Suicide","2020-01-01T00:00:00.000","45979","13.9","year","2026-05-14T00:00:00.000",
"USA","All_Suicide","2021-01-01T00:00:00.000","48183","14.5","year","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-01-01T00:00:00.000","49476","14.8","year","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-01-01T00:00:00.000","49316","14.7","year","2026-05-14T00:00:00.000",
"USA","All_Suicide","2024-01-01T00:00:00.000","48824","14.6","year","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-01-01T00:00:00.000","5095","18.3","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-02-01T00:00:00.000","4805","19.1","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-03-01T00:00:00.000","5485","19.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-04-01T00:00:00.000","5138","19","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-05-01T00:00:00.000","5390","19.3","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-06-01T00:00:00.000","5400","20","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-07-01T00:00:00.000","5747","20.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-08-01T00:00:00.000","5755","20.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2019-09-01T00:00:00.000","5452","20.2","month","2026-05-14T00:00:00.000",
