"week_end","condition","percent_visits","age_group"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","4.7","Kids 5-17"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","1.5","Adults 18-49"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","0.8","Adults 50-64"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","1.9","Overall"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","12.6","Infants 0-1"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","9.5","Kids 2-4"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","5.4","Kids 5-17"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","1.6","Adults 18-49"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","0.8","Adults 50-64"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-08-31T00:00:00.000","Acute upper respiratory infection","2.2","Overall"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","13.4","Infants 0-1"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","9.7","Kids 2-4"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","5.2","Kids 5-17"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","1.7","Adults 18-49"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","0.9","Adults 50-64"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2024-09-07T00:00:00.000","Acute upper respiratory infection","2.3","Overall"
