"influenza_season","start_date","end_date","reporting_timeframe","week","week_sort_order","current_season_week_ending_label","cumulative_flu_doses","current_through"
"2021-2022","2021-12-12T00:00:00.000","2021-12-18T00:00:00.000","2021-12-12 - 2021-12-18","50","21","2023-12-16T00:00:00.000","172.63","2024-03-09T00:00:00.000"
"2021-2022","2021-12-19T00:00:00.000","2021-12-25T00:00:00.000","2021-12-19 - 2021-12-25","51","22","2023-12-23T00:00:00.000","173.15","2024-03-09T00:00:00.000"
"2021-2022","2021-12-26T00:00:00.000","2022-01-01T00:00:00.000","2021-12-26 - 2022-01-01","52","23","2023-12-30T00:00:00.000","173.34","2024-03-09T00:00:00.000"
"2021-2022","2022-01-02T00:00:00.000","2022-01-08T00:00:00.000","2022-01-02 - 2022-01-08","1","24","2024-01-06T00:00:00.000","173.88","2024-03-09T00:00:00.000"
"2021-2022","2022-01-09T00:00:00.000","2022-01-15T00:00:00.000","2022-01-09 - 2022-01-15","2","25","2024-01-13T00:00:00.000","174.38","2024-03-09T00:00:00.000"
"2021-2022","2022-01-16T00:00:00.000","2022-01-22T00:00:00.000","2022-01-16 - 2022-01-22","3","26","2024-01-20T00:00:00.000","174.73","2024-03-09T00:00:00.000"
"2021-2022","2022-01-23T00:00:00.000","2022-01-29T00:00:00.000","2022-01-23 - 2022-01-29","4","27","2024-01-27T00:00:00.000","174.93","2024-03-09T00:00:00.000"
"2021-2022","2022-01-30T00:00:00.000","2022-02-05T00:00:00.000","2022-01-30 - 2022-02-05","5","28","2024-02-03T00:00:00.000","175.06","2024-03-09T00:00:00.000"
"2021-2022","2022-02-06T00:00:00.000","2022-02-12T00:00:00.000","2022-02-06 - 2022-02-12","6","29","2024-02-10T00:00:00.000","175.25","2024-03-09T00:00:00.000"
"2021-2022","2022-02-13T00:00:00.000","2022-02-19T00:00:00.000","2022-02-13 - 2022-02-19","7","30","2024-02-17T00:00:00.000","175.4","2024-03-09T00:00:00.000"
"2021-2022","2022-02-20T00:00:00.000","2022-02-26T00:00:00.000","2022-02-20 - 2022-02-26","8","31","2024-02-24T00:00:00.000","175.53","2024-03-09T00:00:00.000"
"2021-2022","2022-02-27T00:00:00.000","2022-03-05T00:00:00.000","2022-02-27 - 2022-03-05","9","32","2024-03-02T00:00:00.000","175.62","2024-03-09T00:00:00.000"
"2022-2023","2022-07-24T00:00:00.000","2022-07-30T00:00:00.000","2022-07-24 - 2022-07-30","30","1","2023-07-29T00:00:00.000","6.53","2024-03-09T00:00:00.000"
"2022-2023","2022-07-31T00:00:00.000","2022-08-06T00:00:00.000","2022-07-31 - 2022-08-06","31","2","2023-08-05T00:00:00.000","10.37","2024-03-09T00:00:00.000"
"2022-2023","2022-08-07T00:00:00.000","2022-08-13T00:00:00.000","2022-08-07 - 2022-08-13","32","3","2023-08-12T00:00:00.000","15.36","2024-03-09T00:00:00.000"
"2022-2023","2022-08-14T00:00:00.000","2022-08-20T00:00:00.000","2022-08-14 - 2022-08-20","33","4","2023-08-19T00:00:00.000","20.7","2024-03-09T00:00:00.000"
"2022-2023","2022-08-21T00:00:00.000","2022-08-27T00:00:00.000","2022-08-21 - 2022-08-27","34","5","2023-08-26T00:00:00.000","29.83","2024-03-09T00:00:00.000"
"2022-2023","2022-08-28T00:00:00.000","2022-09-03T00:00:00.000","2022-08-28 - 2022-09-03","35","6","2023-09-02T00:00:00.000","38.21","2024-03-09T00:00:00.000"
"2022-2023","2022-09-04T00:00:00.000","2022-09-10T00:00:00.000","2022-09-04 - 2022-09-10","36","7","2023-09-09T00:00:00.000","47.06","2024-03-09T00:00:00.000"
"2022-2023","2022-09-11T00:00:00.000","2022-09-17T00:00:00.000","2022-09-11 - 2022-09-17","37","8","2023-09-16T00:00:00.000","71.44","2024-03-09T00:00:00.000"
"2022-2023","2022-09-18T00:00:00.000","2022-09-24T00:00:00.000","2022-09-18 - 2022-09-24","38","9","2023-09-23T00:00:00.000","91.24","2024-03-09T00:00:00.000"
"2022-2023","2022-09-25T00:00:00.000","2022-10-01T00:00:00.000","2022-09-25 - 2022-10-01","39","10","2023-09-30T00:00:00.000","105.77","2024-03-09T00:00:00.000"
"2022-2023","2022-10-02T00:00:00.000","2022-10-08T00:00:00.000","2022-10-02 - 2022-10-08","40","11","2023-10-07T00:00:00.000","115.81","2024-03-09T00:00:00.000"
"2022-2023","2022-10-09T00:00:00.000","2022-10-15T00:00:00.000","2022-10-09 - 2022-10-15","41","12","2023-10-14T00:00:00.000","128.43","2024-03-09T00:00:00.000"
"2022-2023","2022-10-16T00:00:00.000","2022-10-22T00:00:00.000","2022-10-16 - 2022-10-22","42","13","2023-10-21T00:00:00.000","136.95","2024-03-09T00:00:00.000"
"2022-2023","2022-10-23T00:00:00.000","2022-10-29T00:00:00.000","2022-10-23 - 2022-10-29","43","14","2023-10-28T00:00:00.000","145.77","2024-03-09T00:00:00.000"
"2022-2023","2022-10-30T00:00:00.000","2022-11-05T00:00:00.000","2022-10-30 - 2022-11-05","44","15","2023-11-04T00:00:00.000","150.17","2024-03-09T00:00:00.000"
"2022-2023","2022-11-06T00:00:00.000","2022-11-12T00:00:00.000","2022-11-06 - 2022-11-12","45","16","2023-11-11T00:00:00.000","152.24","2024-03-09T00:00:00.000"
"2022-2023","2022-11-13T00:00:00.000","2022-11-19T00:00:00.000","2022-11-13 - 2022-11-19","46","17","2023-11-18T00:00:00.000","154.1","2024-03-09T00:00:00.000"
"2022-2023","2022-11-20T00:00:00.000","2022-11-26T00:00:00.000","2022-11-20 - 2022-11-26","47","18","2023-11-25T00:00:00.000","154.97","2024-03-09T00:00:00.000"
"2022-2023","2022-11-27T00:00:00.000","2022-12-03T00:00:00.000","2022-11-27 - 2022-12-03","48","19","2023-12-02T00:00:00.000","156.42","2024-03-09T00:00:00.000"
"2022-2023","2022-12-04T00:00:00.000","2022-12-10T00:00:00.000","2022-12-04 - 2022-12-10","49","20","2023-12-09T00:00:00.000","157.61","2024-03-09T00:00:00.000"
