"season","week","virus","region","age_gp","number_pos","number_tested","percent_pos"
"2021-22","202149","RSV","Region 4","25-49 years","0","17","0"
"2021-22","202149","RSV","Region 4","50-64 years","0","25","0"
"2021-22","202149","RSV","Region 4","65+ years","0","13","0"
"2021-22","202149","RSV","Region 5","0-4 years","40","231","17.32"
"2021-22","202149","RSV","Region 5","5-17 years","7","136","5.15"
"2021-22","202149","RSV","Region 5","18-24 years","2","33","6.06"
"2021-22","202149","RSV","Region 5","25-49 years","5","125","4"
"2021-22","202149","RSV","Region 5","50-64 years","2","111","1.8"
"2021-22","202149","RSV","Region 5","65+ years","3","154","1.95"
"2021-22","202149","RSV","Region 6","0-4 years","0","5","0"
"2021-22","202149","RSV","Region 6","5-17 years","0","7","0"
"2021-22","202149","RSV","Region 6","18-24 years","0","22","0"
"2021-22","202149","RSV","Region 6","25-49 years","2","109","1.83"
"2021-22","202149","RSV","Region 6","50-64 years","0","96","0"
"2021-22","202149","RSV","Region 6","65+ years","0","91","0"
"2021-22","202149","RSV","Region 7","0-4 years","13","138","9.42"
"2021-22","202149","RSV","Region 7","5-17 years","4","67","5.97"
"2021-22","202149","RSV","Region 7","18-24 years","0","12","0"
"2021-22","202149","RSV","Region 7","25-49 years","1","62","1.61"
"2021-22","202149","RSV","Region 7","50-64 years","4","46","8.7"
"2021-22","202149","RSV","Region 7","65+ years","3","34","8.82"
