"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Age group","65 years and older","24.2","21.9, 26.5"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Age group","18-44 years","37.3","35.1, 39.5"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Age group","45-64 years","31.1","29, 33.2"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Age group","65 years and older","28.5","26.3, 30.8"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Age group","18-44 years","36.9","34.7, 39.2"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Age group","45-64 years","38.2","36, 40.4"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Age group","65 years and older","31","28.5, 33.5"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Age group","18-44 years","14.9","13.4, 16.5"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Age group","45-64 years","22.1","20.2, 24.1"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Age group","65 years and older","20.8","18.7, 22.9"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Age group","18-44 years","34.3","32, 36.6"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Age group","45-64 years","43.9","41.6, 46.1"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Age group","65 years and older","50","47.5, 52.6"
