"vaccine","influenza_season","geographic_level","geographic_name","demographic_level","demographic_name","indicator_label","indicator_category_label","month_week","week_ending","nd_weekly_estimate","ci_half_width_90pct","ci_half_width_95pct","n_weighted","n_unweighted","suppression_flag","data_source"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","February Week 1","2026-02-07","32.8457","1.6792","2.0007","N/A","10476","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","February Week 2","2026-02-14","46.3237","0.6902","0.8224","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","February Week 2","2026-02-14","46.3237","0.6902","0.8224","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2026-02-14","4.1907","0.8031","0.9569","N/A","10077","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2026-02-14","14.1058","1.193","1.4214","N/A","10077","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","February Week 2","2026-02-14","35.3798","1.7062","2.0329","N/A","10077","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","February Week 3","2026-02-21","46.5024","0.7011","0.8353","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","February Week 3","2026-02-21","46.5024","0.7011","0.8353","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 3","2026-02-21","4.3266","0.7854","0.9358","N/A","12070","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 3","2026-02-21","14.1321","1.1762","1.4014","N/A","12070","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","February Week 3","2026-02-21","35.039","1.6273","1.9389","N/A","12070","0","NIS-ACM"
