"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2025 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","56.0","per 100 births",
"2025 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","61.4","per 100 births",
"2025 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","25.7","per 100 births",
"2025 Q4","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","10.1","per 100 births",
"2025 Q4","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","9.1","per 100 births",
"2025 Q4","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.6","per 100 births",
"2025 Q4","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.8","per 100 births",
"2025 Q3","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.2","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","4.8","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","7.9","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","7.5","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.7","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","22.3","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","34.0","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","29.9","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","15.8","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","11.9","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","18.4","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","16.5","per 1,000 population",
"2025 Q3","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q3","Birth Rates","General Fertility Rates","15-44 years","All races and origins","53.6","per 1,000 population",
"2025 Q3","Birth Rates","General Fertility Rates","15-44 years","Hispanic","63.2","per 1,000 population",
"2025 Q3","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","49.6","per 1,000 population",
"2025 Q3","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","52.0","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.2","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","11.9","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","18.4","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","16.5","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","54.2","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","76.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","61.6","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","46.4","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","89.2","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","109.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","78.2","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.5","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","94.7","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","100.2","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","72.9","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","99.3","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","54.9","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","58.4","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","47.8","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","53.5","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.8","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","15.1","per 1,000 population",
