"data_as_of","start_date","end_date","group","year","month","state","condition_group","condition","icd10_codes","age_group","covid_19_deaths","number_of_mentions","flag"
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Sepsis","Sepsis","A40-A41","55-64","22137","22148",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Sepsis","Sepsis","A40-A41","65-74","32651","32663",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Sepsis","Sepsis","A40-A41","75-84","29455","29461",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Sepsis","Sepsis","A40-A41","85+","19188","19191",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Sepsis","Sepsis","A40-A41","Not stated","2","2",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Sepsis","Sepsis","A40-A41","All Ages","119000","119043",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Malignant neoplasms","Malignant neoplasms","C00-C97","0-24","175","205",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Malignant neoplasms","Malignant neoplasms","C00-C97","25-34","298","358",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Malignant neoplasms","Malignant neoplasms","C00-C97","35-44","896","1094",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Malignant neoplasms","Malignant neoplasms","C00-C97","45-54","2859","3516",
