stateabbr,measureid,data_value_type,data_value,population
AZ,STROKE,CrdPrv,3.4,7431344
AZ,TEETHLOST,AgeAdjPrv,14.9,7431344
AZ,TEETHLOST,CrdPrv,14.8,7431344
AZ,VISION,AgeAdjPrv,5.3,7431344
AZ,VISION,CrdPrv,5.5,7431344
CA,ACCESS2,AgeAdjPrv,10.8,38965193
CA,ACCESS2,CrdPrv,10.7,38965193
CA,ARTHRITIS,AgeAdjPrv,19.0,38965193
CA,ARTHRITIS,CrdPrv,20.8,38965193
CA,BINGE,AgeAdjPrv,16.1,38965193
CA,BINGE,CrdPrv,15.3,38965193
CA,BPHIGH,AgeAdjPrv,28.5,38965193
CA,BPHIGH,CrdPrv,30.5,38965193
CA,BPMED,AgeAdjPrv,52.2,38965193
CA,BPMED,CrdPrv,71.2,38965193
CA,CANCER,AgeAdjPrv,5.7,38965193
CA,CANCER,CrdPrv,6.4,38965193
CA,CASTHMA,AgeAdjPrv,9.3,38965193
CA,CASTHMA,CrdPrv,9.3,38965193
CA,CHD,AgeAdjPrv,5.0,38965193
CA,CHD,CrdPrv,5.6,38965193
CA,CHECKUP,AgeAdjPrv,70.6,38965193
CA,CHECKUP,CrdPrv,71.8,38965193
CA,CHOLSCREEN,AgeAdjPrv,84.5,38965193
CA,CHOLSCREEN,CrdPrv,85.3,38965193
CA,COGNITION,AgeAdjPrv,14.9,38965193
CA,COGNITION,CrdPrv,14.6,38965193
CA,COLON_SCREEN,AgeAdjPrv,53.5,38965193
CA,COLON_SCREEN,CrdPrv,57.4,38965193
CA,COPD,AgeAdjPrv,4.6,38965193
CA,COPD,CrdPrv,5.1,38965193
CA,CSMOKING,AgeAdjPrv,11.1,38965193
CA,CSMOKING,CrdPrv,10.9,38965193
CA,DENTAL,AgeAdjPrv,62.5,38965193
CA,DENTAL,CrdPrv,62.7,38965193
CA,DEPRESSION,AgeAdjPrv,20.5,38965193
CA,DEPRESSION,CrdPrv,20.2,38965193
CA,DIABETES,AgeAdjPrv,10.7,38965193
CA,DIABETES,CrdPrv,11.7,38965193
CA,DISABILITY,AgeAdjPrv,29.6,38965193
CA,DISABILITY,CrdPrv,30.4,38965193
CA,EMOTIONSPT,AgeAdjPrv,29.0,38965193
CA,EMOTIONSPT,CrdPrv,28.6,38965193
CA,FOODINSECU,AgeAdjPrv,18.5,38965193
CA,FOODINSECU,CrdPrv,18.1,38965193
CA,FOODSTAMP,AgeAdjPrv,16.0,38965193
CA,FOODSTAMP,CrdPrv,15.7,38965193
CA,GHLTH,AgeAdjPrv,21.7,38965193
CA,GHLTH,CrdPrv,22.2,38965193
CA,HEARING,AgeAdjPrv,5.5,38965193
CA,HEARING,CrdPrv,5.9,38965193
CA,HIGHCHOL,AgeAdjPrv,31.9,38965193
CA,HIGHCHOL,CrdPrv,35.4,38965193
CA,HOUSINSECU,AgeAdjPrv,15.7,38965193
CA,HOUSINSECU,CrdPrv,15.0,38965193
CA,INDEPLIVE,AgeAdjPrv,8.0,38965193
CA,INDEPLIVE,CrdPrv,8.1,38965193
CA,LACKTRPT,AgeAdjPrv,9.6,38965193
CA,LACKTRPT,CrdPrv,9.3,38965193
CA,LONELINESS,AgeAdjPrv,37.8,38965193
CA,LONELINESS,CrdPrv,37.3,38965193
CA,LPA,AgeAdjPrv,24.3,38965193
CA,LPA,CrdPrv,24.7,38965193
CA,MAMMOUSE,AgeAdjPrv,75.3,38965193
CA,MAMMOUSE,CrdPrv,75.7,38965193
CA,MHLTH,AgeAdjPrv,16.9,38965193
CA,MHLTH,CrdPrv,16.4,38965193
CA,MOBILITY,AgeAdjPrv,12.8,38965193
CA,MOBILITY,CrdPrv,13.8,38965193
CA,OBESITY,AgeAdjPrv,28.0,38965193
CA,OBESITY,CrdPrv,28.0,38965193
CA,PHLTH,AgeAdjPrv,13.0,38965193
CA,PHLTH,CrdPrv,13.4,38965193
CA,SELFCARE,AgeAdjPrv,3.7,38965193
CA,SELFCARE,CrdPrv,3.9,38965193
CA,SHUTUTILITY,AgeAdjPrv,7.7,38965193
CA,SHUTUTILITY,CrdPrv,7.3,38965193
CA,SLEEP,AgeAdjPrv,35.6,38965193
CA,SLEEP,CrdPrv,35.2,38965193
CA,STROKE,AgeAdjPrv,2.9,38965193
CA,STROKE,CrdPrv,3.1,38965193
CA,TEETHLOST,AgeAdjPrv,10.9,38965193
CA,TEETHLOST,CrdPrv,10.7,38965193
CA,VISION,AgeAdjPrv,5.5,38965193
CA,VISION,CrdPrv,5.7,38965193
CO,ACCESS2,AgeAdjPrv,11.2,5877610
CO,ACCESS2,CrdPrv,11.1,5877610
CO,ARTHRITIS,AgeAdjPrv,21.4,5877610
CO,ARTHRITIS,CrdPrv,22.9,5877610
CO,BINGE,AgeAdjPrv,19.5,5877610
CO,BINGE,CrdPrv,18.9,5877610
CO,BPHIGH,AgeAdjPrv,25.7,5877610
CO,BPHIGH,CrdPrv,27.1,5877610
CO,BPMED,AgeAdjPrv,50.5,5877610
CO,BPMED,CrdPrv,69.5,5877610
CO,CANCER,AgeAdjPrv,7.2,5877610
CO,CANCER,CrdPrv,7.8,5877610
CO,CASTHMA,AgeAdjPrv,10.9,5877610
CO,CASTHMA,CrdPrv,10.9,5877610
CO,CHD,AgeAdjPrv,4.7,5877610
CO,CHD,CrdPrv,5.1,5877610
CO,CHECKUP,AgeAdjPrv,70.5,5877610
CO,CHECKUP,CrdPrv,71.4,5877610
CO,CHOLSCREEN,AgeAdjPrv,84.6,5877610
CO,CHOLSCREEN,CrdPrv,85.2,5877610
CO,COGNITION,AgeAdjPrv,14.1,5877610
CO,COGNITION,CrdPrv,13.9,5877610
CO,COLON_SCREEN,AgeAdjPrv,58.0,5877610
CO,COLON_SCREEN,CrdPrv,62.3,5877610
CO,COPD,AgeAdjPrv,4.8,5877610
